Nombre;Autor;Fecha;Categoria
El futuro de la IA;Juan Perez;2024-01-15;Tecnologia;
Perdidos en el tiempo;Sara Gonzalez;2024-02-07;Ciencia Ficcion;
Economia Moderna;David Fernandez;2024-03-12;Economia;
Exploradores del Espacio Profundo;Emilia Garcia;2024-04-05;Ciencia Ficcion;
Inteligencia Artificial en la Medicina;Luisa Blanco;2024-05-18;Medicina;
La Ultima Frontera;Miguel Verde;2024-06-21;Aventura;
Vivir Sostenible;Amanda Martinez;2024-07-14;Ecologia;
El Mundo Cuántico;Cristóbal Lopez;2024-08-19;Fisica;
Privacidad Digital y Tu;Rebeca Martin;2024-09-10;Seguridad Informatica;
Realidad Virtual: Una Nueva Era;Antonio Rodriguez;2024-10-25;Tecnologia;